from_addr,to_addr,amount,txid,hop,ts,is_change,from_entity,to_entity,from_labels,to_labels
bc1pt58gdfhrmjpzdw43kuh209gnl0w4fqmykuyp9tusyc0h37rrrauqqnv4jz,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,1.5e-05,580b0d20c8275625c52aefdb4f13250abbe55f5c33ce66c5b25007114d5a92c5,1,1779675281,False,,individual,,
3P1PRbgYeLFindhaqaWi9yuvs6FKfNgLV7,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0.00061579,3366a9d56d16369003b7611e211b3383507a621ccf8fec1009ce993082b7cd62,1,1779463912,False,,individual,,
3C8nEuHqxb9o8Asq8f7E5Aa83yTh2Pzfby,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0.00061579,c8dad4c90a5c6978a890f42965240e1abb7070525b5a94bedb3c2997aa22ae67,1,1779463912,False,,individual,,
bc1qc8a267p0a48vfar87pwpeqeaag40ukj08agg6g,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,8.539e-05,daadb7c6e1e8df9d9cd88a127d7ff050a8b88fb9e936e299e6b245b05e313405,1,1779455420,False,,individual,,
bc1qjdgp84gcjs0qul8k2z5zec4kea2wpydz4ajfsy,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,8.539e-05,9471b80fc45f503a9da19e8b3c8584dd69fb00ad40a3dd3774a036ae9d06c04d,1,1779455420,False,,individual,,
194C34zTL2fJ9JpYGSnu7d4ZfzpT2uioAV,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,1e-05,6c2a24dd0a2157728950a9f7158355c651422c0a035af6f220f0eddf12e420b9,1,1779408388,False,,individual,,
bc1pmfyr5e7skfg5s5p4da89zyuqawhx5eascuhhfdrjjpwvctj56k0s53vfm5,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,1e-05,129d4b127d45e6eb2096163965d5d48c1f7dffcb47d155392109c505d566de3a,1,1779370680,False,,individual,,
bc1qkgfkn8zzdj3xr66lw7xcne5ykskzut3t2d36qt,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,1e-05,ddbb9d53b4c04cecd24b16163f833afd1920b4a22f1a9f48feb8c53ed47a1599,1,1779370680,False,,individual,,
bc1qhsuyxkq8n87uqv7autt9f6vwsezstan53xpp0z,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,1.252e-05,9d49523058509049b935b60ef7432f89e8d52d915e41324ad5b1c116801c45a9,1,1779311677,False,,individual,,
bc1q6hphy59uddyvptshyx8ffejuuuunr52mmqjvqu,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,0.0001,dfb5f2f1ad0d31efad4cda0ff3355b4c2391eb625018a3a223b64bdbb572637d,1,1779156976,False,,individual,,
